title,description,collected,goal,backers,time_lapse,query_date
"Jim Durán - Cycle To End Father Absence & Ride for Ryan - Cyclebar Kildeer - January 28, 2018 @ 2pm","C2EFA is a fundraising and awareness campaign established to address the issue of father absence, one of society's greatest challenges. All proceeds will be used to fund the Special Fathers Network, a dad to dad mentoring program for fathers raising kids with special needs and the Ryan M. Hanson Memorial Internship.  ","$1,300","$1,000",20,1month,2018-02-16
"","","","",,,2018-02-16
"Kelly Hutton - Youngstown, OH Sk8 to Elimin8 Cancer",Team up with Scott Hamilton and Turn Cancer Upside Down!,$25,"",1,2days,2018-02-16
Rylee Hutton,Team up with Scott Hamilton and Turn Cancer Upside Down!,$25,"",1,2days,2018-02-16
Donna's walk for the water,"",$25,$300,1,8days,2018-02-16
Concern America - Walk Out Of Poverty,"",$175,"$2,000",3,3days,2018-02-16
"Camden Dempsey’s Eagle Project, Spring 2018",Goal ,"$3,075","$4,000",23,5months,2018-02-16
"The 1 Campaign for the 1,000","The 1 Campaign is our capital campaign to secure property for Bears Etc. and it's future to help abandoned, neglected, abused, and unwanted bears (and other exotics, and wildlife, in need) being kept as pets, used for entertainment, and road side attractions, across the United States. It's our one year anniversary and our goal is to have 1 person, donate $1,  share our campaign with 1 friend, and share our campaign once on each of their social media outlets, to reach 1 million people to educate them about the 1,000 bears currently living in sub standard housing; meaning they don't receive adequate food, water, shelter, and veterinary care needed to live the life of the captive bears.  ",$135,"$1,000,000",5,1month,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
Missouri River Voyage,"The Missouri River Voyage (MORV) is a canoe trip that will begin in June of 2018 at the headwaters of the Missouri River near Three Forks, Montana. From there, the voyage travels through seven states: Montana, North Dakota, South Dakota, Nebraska, Iowa, Kansas and Missouri. The planned route ends just north of St. Louis, where the Missouri joins with the Mississippi River. The voyage will finish on or before September 28, 2018. A satellite communicator will be carried, and supporters can follow the progress of the canoeists on the MORV online map hosted on a Garmin website. Videos and updates will be posted on the Paddle With Purpose River Voyages Facebook page to share the highlights of the trip. The Missouri River Voyage will cover 2,341 river miles. The goal is to raise $10.00 per mile for a total of $23,410. The voyage is self-funded by the on-the-water team of Gary and Linda De Kock from Grand Rapids, MI, so all sponsorship donations go directly to benefit Water For People.","$6,570","$23,410",14,3months,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
CELEBRATE MY BDAY FOR A GOOD CAUSE!,"Hi Everyone, ",$500,"$2,800",6,29days,2018-02-16
"","","","",,,2018-02-16
Sophie's Walk For The Water,"In Burundi, Africa, women and children walk over a mile just to get ""clean"" water. Unfortunately, sometimes the water they obtain is contaminated with bacteria. The non-profit organization, Gazelle Foundation, helps to provide access to clean water in Burundi. On March 9, 2018, I will be participating in Walk for the Water. This activity consists of walking a 3 mile loop carrying a jug of water on your head. A donation of $30 grants one person in Burundi with a life-time supply of water. Our goal as the Austin High School Global Studies Academy is $15,000. On behalf of AGS, I'm hoping that you will contribute money to help the on-going cause in Burundi, Africa.",$75,"$1,000",1,8days,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
Abaco Boat Restoration Project,"In honor of our David Wright's 75th birthday, we are inviting you to help us support a cause dear to his heart -- the historic preservation of the Man-O-War Cay shipwright legacy. For those of you who are unfamiliar with the man and his work, Dave is an accomplished environmentalist, political activist, bluegrass musician, farmer, mechanical engineer, sailor and architectural and industrial historic preservationist. In the latter category, his professional credits include:   ","$34,791","$75,000",54,3months,2018-02-16
"","","","",,,2018-02-16
Hurricane Harvey & Hurricane Irma Relief,"D'Angelico Guitars is helping to raise awareness and funds for Hurricane Harvey and Hurricane Irma relief efforts. These hurricanes have caused widespread, catastrophic flooding and life-threatening damage to entire communities. Through the Red Cross, this fund will provide relief to survivors in the form of emergency supplies like food, water, and medicine in addition to longer-term assistance to help residents recover and rebuild. All donations to this fund will exclusively support relief and recovery efforts from these storms. For every $10 donation, you will be automatically entered to win a D'Angelico Excel SS in Vintage Sunburst. You may donate/enter as many times as you like, and D'Angelico will match a percentage of the total donations. Please join us in helping to make a difference.","$8,188","$10,000",266,5months,2018-02-16
"","","","",,,2018-02-16
"","","","",,,2018-02-16
2018 - Envision Financial Run for Water Half Marathon / 10K / 5K - RUN FOR WATER FOUNDATION,"Last spring the parent advisory committee in the community of Awash Kolati in Ethiopia agreed to partner with Run for Water in fundraising for a clean water well  and a new school in their community. Their goal is to rasie 10% of the costs.  
100% of our all of our donations will go to partnering with these people in bringing clean water and quality education to their community.  ","$1,033","",27,3months,2018-02-16
Picture  → Giving,"Hi Everyone! My goal is to raise at least $1800 for the 60 orphans and neglected children, all between the ages of 5 and 10, who live at the LoveManifest School in Rathinangudi, India. I am trying to raise a minimum of $10 for each child, enough to provide a new outfit and much needed supplies. I’ll be traveling to Rathinangudi in February to care for and bring love to the LoveManifest School children. LoveManifest is an organization that provides clean drinking water, medical care, and orphan care to the poorest areas of the world and the LoveManifest School in Rathinangudi provides free education for grades 1 through 5, medical, vision and dental care, clothing, food, recreational facilities, and a home for children who are without. Despite utilizing every government program available, these orphans and neglected children still lack many basic human needs. A few facts about donation: --The children and I are grateful for any donation; --No donation is too small; --Every penny raised will be used to directly impact these children.; and --As a special thank you to anyone who donates $20 or more, you will receive a color 8x10 photograph taken by me in Rathinangudi during my February trip. Thank you for any donation to my “Picture → Giving” campaign. Love, Delaney","$4,036","$1,800",55,3months,2018-02-16
JP Rows to El Tránsito,"I am a Student Ambassador for The NICA Fund and have traveled to El Tránsito, Nicaragua every summer for the past 7 years to support the students at the Douglas Vasquez School (the town’s public school). El Tránsito is small fishing village located on the Pacific Coast about one hour north of Managua. Most of the residents live on less than $3 per day and half are under 18 and poorly educated. This spring and summer I will be training with my rowing club Marina Aquatic Center and completing long workouts. As part of my training, I'm going to attempt through my work-outs on the erg machine and in the water to cover in total distance from LA to El Tránsito and get sponsors for my ""journey"". All sponsor dollars will be used to provide seed funding for an arts program at Douglas Vasquez School which I will initiate this summer during my 8th trip to Nicaragua. Please join me in my quest to continue helping the children of El Tránsito!",$725,"$2,000",3,5days,2018-02-16
"","","","",,,2018-02-16
2018 Polar Plunge: Fighting Cancer with the Ken Pribil Jr. Foundation,"Dearest Friends and Family,","$4,575","$5,000",84,1month,2018-02-16
Unidos Por Puerto Rico! The Foundation for Puerto Rico Fundraiser,THE CAUSE  ,"$1,247","$2,000",6,1month,2018-02-16
Graces Walk For Water,"When you wake up in the morning how long does it take to get clean water? 5 minutes 5 seconds? In a less developed country, the average person has to walk is six kilometres or 3.7 miles to access water that is contaminated with animal waste and pollution. This leads to a lack of education and malnourishment. Did you know it only takes 30$ to provide a person with clean water for life? Take 5 minutes out of your day to donate anything from 1$ to 100$ and change someone's life. I am going to be doing a walk which is the distance that kids in developing countries walk daily for dirty contaminated water. So if you want to make a change in not only your life but also someone in Burundi go and donate today!",$250,"$1,000",7,9days,2018-02-16
Alejandro Vega ,"","$2,705","$3,000",24,3months,2018-02-16
